Location,Property_Address,Property_Type,Property_Size,Tenure,Rent,Price
Gravesend,"South Site, Crete Hall Road",Industrial,"72,643 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,32 Tower View,Offices,"17,583 to 35,247 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,"Part 1st Floor, 11 Tower View",Offices,"5,092 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,"Prt Gnd Floor, 11 Tower View",Offices,"11,036 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,"Part 1st Floor, 11 Tower View",Offices,"5,316 sq ft - To Let",To Let,Rent on Application,Price on Application
London,2 Old Post Office Lane,Industrial,"15,617 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,34 Tower View,Offices,"9,688 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,17 Kings Hill Avenue,Offices,"9,173 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,4 Abbey Wood Road,Offices,"14,854 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,2 Kings Hill Avenue,Offices,"2,339 to 4,715 sq ft - To Let",To Let,Rent on Application,Price on Application
Tunbridge Wells,"Unit 2A North Farm Industrial Estate, Longfield Road",Industrial,"9,335 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B1, Logicor Park",Industrial,"3,836 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A1, Logicor Park",Industrial,"5,341 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A2, Logicor Park",Industrial,"5,856 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A3, Logicor Park",Industrial,"5,846 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A5, Logicor Park",Industrial,"3,341 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A6, Logicor Park",Industrial,"3,288 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A7, Logicor Park",Industrial,"3,830 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A8, Logicor Park",Industrial,"3,801 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A9, Logicor Park",Industrial,"3,793 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A10, Logicor Park",Industrial,"3,832 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A11, Logicor Park",Industrial,"3,836 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A12, Logicor Park",Industrial,"3,290 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B3, Logicor Park",Industrial,"2,912 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B5, Logicor Park",Industrial,"4,766 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B6, Logicor Park",Industrial,"3,617 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B7, Logicor Park",Industrial,"3,617 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B8, Logicor Park",Industrial,"4,768 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Various Units, Logicor Park",Industrial,"2,912 to 82,203 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit A4, Logicor Park",Industrial,"5,874 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,"Unit D20A, J31 Park, Motherwell Way",Industrial,"3,456 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,"Unit D20, J31 Park, Motherwell Way",Industrial,"2,972 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Unit 9 Axiom Orbital Park, Hall Avenue",Industrial,"2,974 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit C3 Eastern Approach, 25 Alfreds Way",Industrial,"16,971 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Various Units Coward Industrial Estate, St Johns Road",Industrial,"3,509 to 10,362 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock Grays,"Plot 4 Thurrock Open Storage Park, Oliver Road",Land,1.13 Acres - To Let,To Let,Rent on Application,Price on Application
Woodford Green,Unit 1 Orbital Centre,Industrial,"8,816 sq ft - To Let",To Let,Rent on Application,Price on Application
